test#,model type,alpha,alpha_ratio,MSE_test,MSE_train,intercept,cv#
1,Lasso,0.05,NAN,1.0002936436777043,0.9998686950571527,-0.0032167516236102658,1
2,Ridge,0.05,NAN,0.11881572391729427,0.12081697314634676,-0.0032167516236115334,1
3,LR,NAN,NAN,0.11881959335874208,0.12082532634731767,-0.0033013456808517376,1
4,ElasticNet,0.05,0.1,0.6209897795253183,0.6260014103533365,-0.0032167516236103295,1
5,ElasticNet,0.05,0.3,0.6209897795253183,0.6260014103533365,-0.0032167516236103295,1
6,ElasticNet,0.05,0.5,0.6209897795253183,0.6260014103533365,-0.0032167516236103295,1
7,ElasticNet,0.05,0.7,0.6209897795253183,0.6260014103533365,-0.0032167516236103295,1
8,Lasso,0.05,NAN,1.001866073095512,0.9990747426833965,0.0022752253457755172,2
9,Ridge,0.05,NAN,0.12308324250235535,0.11871345176390626,0.0022752253457765602,2
10,LR,NAN,NAN,0.12306187813034744,0.11875796382885322,0.0022561399068750146,2
11,ElasticNet,0.05,0.1,0.6270613207055884,0.621745158414403,0.002275225345775476,2
12,ElasticNet,0.05,0.3,0.6270613207055884,0.621745158414403,0.002275225345775476,2
13,ElasticNet,0.05,0.5,0.6270613207055884,0.621745158414403,0.002275225345775476,2
14,ElasticNet,0.05,0.7,0.6270613207055884,0.621745158414403,0.002275225345775476,2
15,Lasso,0.05,NAN,0.9979223275189021,1.0010401498859245,0.0009414769933103767,3
16,Ridge,0.05,NAN,0.11987773781575325,0.12027969563681704,0.0009414769933120798,3
17,LR,NAN,NAN,0.11988762799594439,0.12028037859685005,0.0009083777312920256,3
18,ElasticNet,0.05,0.1,0.624368091658763,0.6241451932983955,0.0009414769933104072,3
19,ElasticNet,0.05,0.3,0.624368091658763,0.6241451932983955,0.0009414769933104072,3
20,ElasticNet,0.05,0.5,0.624368091658763,0.6241451932983955,0.0009414769933104072,3
21,ElasticNet,0.05,0.7,0.624368091658763,0.6241451932983955,0.0009414769933104072,3
22,Lasso,0.1,NAN,1.0002936436777043,0.9998686950571527,-0.0032167516236102658,1
23,Ridge,0.1,NAN,0.11881572391729427,0.12081697314634676,-0.0032167516236115334,1
24,LR,NAN,NAN,0.11881959335874208,0.12082532634731767,-0.0033013456808517376,1
25,ElasticNet,0.1,0.1,0.6209897795253183,0.6260014103533365,-0.0032167516236103295,1
26,ElasticNet,0.1,0.3,0.6209897795253183,0.6260014103533365,-0.0032167516236103295,1
27,ElasticNet,0.1,0.5,0.6209897795253183,0.6260014103533365,-0.0032167516236103295,1
28,ElasticNet,0.1,0.7,0.6209897795253183,0.6260014103533365,-0.0032167516236103295,1
29,Lasso,0.1,NAN,1.001866073095512,0.9990747426833965,0.0022752253457755172,2
30,Ridge,0.1,NAN,0.12308324250235535,0.11871345176390626,0.0022752253457765602,2
31,LR,NAN,NAN,0.12306187813034744,0.11875796382885322,0.0022561399068750146,2
32,ElasticNet,0.1,0.1,0.6270613207055884,0.621745158414403,0.002275225345775476,2
33,ElasticNet,0.1,0.3,0.6270613207055884,0.621745158414403,0.002275225345775476,2
34,ElasticNet,0.1,0.5,0.6270613207055884,0.621745158414403,0.002275225345775476,2
35,ElasticNet,0.1,0.7,0.6270613207055884,0.621745158414403,0.002275225345775476,2
36,Lasso,0.1,NAN,0.9979223275189021,1.0010401498859245,0.0009414769933103767,3
37,Ridge,0.1,NAN,0.11987773781575325,0.12027969563681704,0.0009414769933120798,3
38,LR,NAN,NAN,0.11988762799594439,0.12028037859685005,0.0009083777312920256,3
39,ElasticNet,0.1,0.1,0.624368091658763,0.6241451932983955,0.0009414769933104072,3
40,ElasticNet,0.1,0.3,0.624368091658763,0.6241451932983955,0.0009414769933104072,3
41,ElasticNet,0.1,0.5,0.624368091658763,0.6241451932983955,0.0009414769933104072,3
42,ElasticNet,0.1,0.7,0.624368091658763,0.6241451932983955,0.0009414769933104072,3
43,Lasso,0.5,NAN,1.0002936436777043,0.9998686950571527,-0.0032167516236102658,1
44,Ridge,0.5,NAN,0.11881572391729427,0.12081697314634676,-0.0032167516236115334,1
45,LR,NAN,NAN,0.11881959335874208,0.12082532634731767,-0.0033013456808517376,1
46,ElasticNet,0.5,0.1,0.6209897795253183,0.6260014103533365,-0.0032167516236103295,1
47,ElasticNet,0.5,0.3,0.6209897795253183,0.6260014103533365,-0.0032167516236103295,1
48,ElasticNet,0.5,0.5,0.6209897795253183,0.6260014103533365,-0.0032167516236103295,1
49,ElasticNet,0.5,0.7,0.6209897795253183,0.6260014103533365,-0.0032167516236103295,1
50,Lasso,0.5,NAN,1.001866073095512,0.9990747426833965,0.0022752253457755172,2
51,Ridge,0.5,NAN,0.12308324250235535,0.11871345176390626,0.0022752253457765602,2
52,LR,NAN,NAN,0.12306187813034744,0.11875796382885322,0.0022561399068750146,2
53,ElasticNet,0.5,0.1,0.6270613207055884,0.621745158414403,0.002275225345775476,2
54,ElasticNet,0.5,0.3,0.6270613207055884,0.621745158414403,0.002275225345775476,2
55,ElasticNet,0.5,0.5,0.6270613207055884,0.621745158414403,0.002275225345775476,2
56,ElasticNet,0.5,0.7,0.6270613207055884,0.621745158414403,0.002275225345775476,2
57,Lasso,0.5,NAN,0.9979223275189021,1.0010401498859245,0.0009414769933103767,3
58,Ridge,0.5,NAN,0.11987773781575325,0.12027969563681704,0.0009414769933120798,3
59,LR,NAN,NAN,0.11988762799594439,0.12028037859685005,0.0009083777312920256,3
60,ElasticNet,0.5,0.1,0.624368091658763,0.6241451932983955,0.0009414769933104072,3
61,ElasticNet,0.5,0.3,0.624368091658763,0.6241451932983955,0.0009414769933104072,3
62,ElasticNet,0.5,0.5,0.624368091658763,0.6241451932983955,0.0009414769933104072,3
63,ElasticNet,0.5,0.7,0.624368091658763,0.6241451932983955,0.0009414769933104072,3
64,Lasso,5,NAN,1.0002936436777043,0.9998686950571527,-0.0032167516236102658,1
65,Ridge,5,NAN,0.11881572391729427,0.12081697314634676,-0.0032167516236115334,1
66,LR,NAN,NAN,0.11881959335874208,0.12082532634731767,-0.0033013456808517376,1
67,ElasticNet,5,0.1,0.6209897795253183,0.6260014103533365,-0.0032167516236103295,1
68,ElasticNet,5,0.3,0.6209897795253183,0.6260014103533365,-0.0032167516236103295,1
69,ElasticNet,5,0.5,0.6209897795253183,0.6260014103533365,-0.0032167516236103295,1
70,ElasticNet,5,0.7,0.6209897795253183,0.6260014103533365,-0.0032167516236103295,1
71,Lasso,5,NAN,1.001866073095512,0.9990747426833965,0.0022752253457755172,2
72,Ridge,5,NAN,0.12308324250235535,0.11871345176390626,0.0022752253457765602,2
73,LR,NAN,NAN,0.12306187813034744,0.11875796382885322,0.0022561399068750146,2
74,ElasticNet,5,0.1,0.6270613207055884,0.621745158414403,0.002275225345775476,2
75,ElasticNet,5,0.3,0.6270613207055884,0.621745158414403,0.002275225345775476,2
76,ElasticNet,5,0.5,0.6270613207055884,0.621745158414403,0.002275225345775476,2
77,ElasticNet,5,0.7,0.6270613207055884,0.621745158414403,0.002275225345775476,2
78,Lasso,5,NAN,0.9979223275189021,1.0010401498859245,0.0009414769933103767,3
79,Ridge,5,NAN,0.11987773781575325,0.12027969563681704,0.0009414769933120798,3
80,LR,NAN,NAN,0.11988762799594439,0.12028037859685005,0.0009083777312920256,3
81,ElasticNet,5,0.1,0.624368091658763,0.6241451932983955,0.0009414769933104072,3
82,ElasticNet,5,0.3,0.624368091658763,0.6241451932983955,0.0009414769933104072,3
83,ElasticNet,5,0.5,0.624368091658763,0.6241451932983955,0.0009414769933104072,3
84,ElasticNet,5,0.7,0.624368091658763,0.6241451932983955,0.0009414769933104072,3
85,Lasso,10,NAN,1.0002936436777043,0.9998686950571527,-0.0032167516236102658,1
86,Ridge,10,NAN,0.11881572391729427,0.12081697314634676,-0.0032167516236115334,1
87,LR,NAN,NAN,0.11881959335874208,0.12082532634731767,-0.0033013456808517376,1
88,ElasticNet,10,0.1,0.6209897795253183,0.6260014103533365,-0.0032167516236103295,1
89,ElasticNet,10,0.3,0.6209897795253183,0.6260014103533365,-0.0032167516236103295,1
90,ElasticNet,10,0.5,0.6209897795253183,0.6260014103533365,-0.0032167516236103295,1
91,ElasticNet,10,0.7,0.6209897795253183,0.6260014103533365,-0.0032167516236103295,1
92,Lasso,10,NAN,1.001866073095512,0.9990747426833965,0.0022752253457755172,2
93,Ridge,10,NAN,0.12308324250235535,0.11871345176390626,0.0022752253457765602,2
94,LR,NAN,NAN,0.12306187813034744,0.11875796382885322,0.0022561399068750146,2
95,ElasticNet,10,0.1,0.6270613207055884,0.621745158414403,0.002275225345775476,2
96,ElasticNet,10,0.3,0.6270613207055884,0.621745158414403,0.002275225345775476,2
97,ElasticNet,10,0.5,0.6270613207055884,0.621745158414403,0.002275225345775476,2
98,ElasticNet,10,0.7,0.6270613207055884,0.621745158414403,0.002275225345775476,2
99,Lasso,10,NAN,0.9979223275189021,1.0010401498859245,0.0009414769933103767,3
100,Ridge,10,NAN,0.11987773781575325,0.12027969563681704,0.0009414769933120798,3
101,LR,NAN,NAN,0.11988762799594439,0.12028037859685005,0.0009083777312920256,3
102,ElasticNet,10,0.1,0.624368091658763,0.6241451932983955,0.0009414769933104072,3
103,ElasticNet,10,0.3,0.624368091658763,0.6241451932983955,0.0009414769933104072,3
104,ElasticNet,10,0.5,0.624368091658763,0.6241451932983955,0.0009414769933104072,3
105,ElasticNet,10,0.7,0.624368091658763,0.6241451932983955,0.0009414769933104072,3
106,Lasso,15,NAN,1.0002936436777043,0.9998686950571527,-0.0032167516236102658,1
107,Ridge,15,NAN,0.11881572391729427,0.12081697314634676,-0.0032167516236115334,1
108,LR,NAN,NAN,0.11881959335874208,0.12082532634731767,-0.0033013456808517376,1
109,ElasticNet,15,0.1,0.6209897795253183,0.6260014103533365,-0.0032167516236103295,1
110,ElasticNet,15,0.3,0.6209897795253183,0.6260014103533365,-0.0032167516236103295,1
111,ElasticNet,15,0.5,0.6209897795253183,0.6260014103533365,-0.0032167516236103295,1
112,ElasticNet,15,0.7,0.6209897795253183,0.6260014103533365,-0.0032167516236103295,1
113,Lasso,15,NAN,1.001866073095512,0.9990747426833965,0.0022752253457755172,2
114,Ridge,15,NAN,0.12308324250235535,0.11871345176390626,0.0022752253457765602,2
115,LR,NAN,NAN,0.12306187813034744,0.11875796382885322,0.0022561399068750146,2
116,ElasticNet,15,0.1,0.6270613207055884,0.621745158414403,0.002275225345775476,2
117,ElasticNet,15,0.3,0.6270613207055884,0.621745158414403,0.002275225345775476,2
118,ElasticNet,15,0.5,0.6270613207055884,0.621745158414403,0.002275225345775476,2
119,ElasticNet,15,0.7,0.6270613207055884,0.621745158414403,0.002275225345775476,2
120,Lasso,15,NAN,0.9979223275189021,1.0010401498859245,0.0009414769933103767,3
121,Ridge,15,NAN,0.11987773781575325,0.12027969563681704,0.0009414769933120798,3
122,LR,NAN,NAN,0.11988762799594439,0.12028037859685005,0.0009083777312920256,3
123,ElasticNet,15,0.1,0.624368091658763,0.6241451932983955,0.0009414769933104072,3
124,ElasticNet,15,0.3,0.624368091658763,0.6241451932983955,0.0009414769933104072,3
125,ElasticNet,15,0.5,0.624368091658763,0.6241451932983955,0.0009414769933104072,3
126,ElasticNet,15,0.7,0.624368091658763,0.6241451932983955,0.0009414769933104072,3
